Name;DisplayName
;
Anti_pump, _118_Anti_Pump;Alarm_Anti_Pump
_111_Antitank_Empty, AlarmAntiScalant, Anti_Tank, Anti_Tankk, Anti_Tankkk, AntiScalantTank, AntiTank, AntiTank_empty, AntiTankkk, _21_Anti_Scalant_Tank, _38_Alarm_Anti_Scalant_Alarm;Alarm_AntiScalant_Tank
Alarm_Well_Level, Alarm_Well_Water, AlarmWellLevel, _40_Alarm_Well_Level, _27_Alarm_Well_Level_Alarm;Alarm_Borehole_empty
_23_Comp_Alarm, _35_Alarm_Comp, Alarm_Comp, Comp_Alarm;Alarm_Comp
Dosing_Pump_Alarm, _105_Dosing_Pump_Alarm;Alarm_Dosing_Pump
_31_Alarm_DPS, Alarm_DPSe;Alarm_DPS
_30_Alarm_Drain_Valve, Alarm_Drain_Valve;Alarm_Drain_Valve
_22_Evap_Motor_Alarm,_34_Alarm_Evap,_41_Alarm_Evap_Rotation, Alarm_Evap, Alarm_Evap_Rotation, Evap_Motor_Alarm;Alarm_Evap_Motor
_20_Fan_1_Alarm, _32_Alarm_Fan_1, Alarm_Fan_1, Fan_1_Alarm, _21_Fan_2_Alarm, Alarm_Fan_2, Fan_2_Alarm, _33_Alarm_Fan_2;Alarm_Fan_1
AlarmFlowMeter, _39_Alarm_Flow_Meter_Alarm;Alarm_Flowmeter
_29_Alarm_Inlet_Valve_Water, Alarm_Inlet_Valve_Water;Alarm_Inlet_Valve
Alarm_Inverter_A, AlarmFeedInverterStatus, _30_Alarm_Bohrhole_Inverter_Status_Alarm;Alarm_Inverter1
Alarm_Inverter_B, AlarmBoosterInverterStatus, _28_Alarm_Feed_Inverter_Status_Alarm;Alarm_Inverter2
Alarm_Inverter_C, AlarmBohrholeInverterStatus, _29_Alarm_Booster_Inverter_Status_Alarm;Alarm_Inverter3
_28_Alarm_Lid, Alarm_Lid, _12_Lid_Alarm;Alarm_Lid
Ph_Alarm;Alarm_Ph
Alarm_High_Pressure, Pressurre_Alarm, _15_Pressurre_Alarm, _17_Alarm_High_Pressure, AlarmHighPressure, _31_Alarm_High_Pressure_Alarm;Alarm_Pressure
AlarmRaw_Tank_Alarm, _41_AlarmRaw_Tank_Alarm;Alarm_Raw_Tank
_39_Alarm_Tank;Alarm_Tank 
