DisplayName;c (tagId);ParameterNames
Alarm_Anti_Pump;10472631;_Anti_pump, Anti_pump
Alarm_AntiScalant_Tank;10472617;_AlarmAntiScalant, AlarmAntiScalant, Anti_Tank, Anti_Tankk, Anti_Tankkk, AntiScalantTank, AntiTank, AntiTank_empty, AntiTankkk
Alarm_Borehole_empty;10472616;_Alarm_Well_Level, Alarm_Well_Level, Alarm_Well_Water, AlarmWellLevel, _40_Alarm_Well_Level
Alarm_Comp;10472604;_23__Comp_Alarm, _23_Comp_Alarm, _35_Alarm_Comp, Alarm_Comp, Comp_Alarm
Alarm_Dosing_Pump;10473768;Dosing_Pump_Alarm
Alarm_DPS;10472609;_31__Alarm_DPS, _31_Alarm_DPS, Alarm_DPSe
Alarm_Drain_Valve;10472608;_30__Alarm_Drain_Valve, _30_Alarm_Drain_Valve, Alarm_Drain_Valve
Alarm_Evap_Motor;10472603;_22__Evap_Motor_Alarm, _22_Evap_Motor_Alarm, _34_Alarm_Evap, _41_Alarm_Evap_Rotation, Alarm_Evap, Alarm_Evap_Rotation, Evap_Motor_Alarm
Alarm_Fan_1;10472601;_20__Fan_1_Alarm, _20_Fan_1_Alarm, _32_Alarm_Fan_1, Alarm_Fan_1, Fan_1_Alarm, _21_Fan_2_Alarm, Alarm_Fan_2, Fan_2_Alarm, _33_Alarm_Fan_2
Alarm_Flowmeter;10472620;_AlarmFlowMeter, AlarmFlowMeter
Alarm_Inlet_Valve;10472607;_29__Alarm_Inlet_Valve_Water, _29_Alarm_Inlet_Valve_Water, Alarm_Inlet_Valve_Water
Alarm_Inverter1;10472613;_Alarm_Inverter_A, Alarm_Inverter_A, AlarmFeedInverterStatus
Alarm_Inverter2;10472614;_Alarm_Inverter_B, Alarm_Inverter_B, AlarmBoosterInverterStatus
Alarm_Inverter3;10472615;_Alarm_Inverter_C, Alarm_Inverter_C, AlarmBohrholeInverterStatus
Alarm_Lid;10472606;_28__Alarm_Lid, _28_Alarm_Lid, Alarm_Lid, _12_Lid_Alarm
Alarm_Ph;10473782;Ph_Alarm
Alarm_Pressure;10472612;_Alarm_High_Pressure, Alarm_High_Pressure, Pressurre_Alarm, _15_Pressurre_Alarm, _17_Alarm_High_Pressure, AlarmHighPressure
Alarm_Raw_Tank;10472622;_AlarmRaw_Tank_Alarm, AlarmRaw_Tank_Alarm
Alarm_Tank;10472611;_39__Alarm_Tank, _39_Alarm_Tank
Alarm_TDS;10472621;_AlarmHighTDS, AlarmHighTDS
Alarm_Temp_Inverter;10472598;_18__Alarm_Inverter, _18_Alarm_Inverter, _19_Alarm_Temperature_Inverter, Alarm_Inverter, Alarm_Temperature_Inverter
Alarm_Temp_Inverter1;10472610;_36__Alarm_Inverter_A, _36_Alarm_Inverter_A, _42_Alarm_Inverter_1_Over_Temperature, Alarm_Inverter_1_Over_Temperature, AlarmBohrholeInverterTemperature
