NamibiaName;Status;Name;Displayname;Comments
_11_Auto_Manual;Match;_11_Auto_Manual;Auto_Manual_Switch;
_24_Borhole_Float_Switch;Match;_24_Borhole_Float_Switch;Borehole_Float_Switch;
_50_Solar_Power;Match;_50_Solar_Power;Solar_Power;
_51_Grid_Power;Match;_51_Grid_Power;Grid_Power;
_52_Total_Power;Match;_52_Total_Power;Total_Power;
_55_Pump_Power;Match;_55_Pump_Power;Borehole_Pump_Power;
_56_Machine_Capacity;Match;_56_Machine_Capacity;Machine_Capacity;
_57_Machine_Grid_Percentage;Match;_57_Machine_Grid_Percentage;Machine_Grid_Percentage;
_58_Machine_Solar_Percentage;Match;_58_Machine_Solar_Percentage;Machine_Solar_Percentage;
_60_Total_Current;Match;_60_Total_Current;Total_Current;
_63_DC_Voltage_Pump;Match;_63_DC_Voltage_Pump;DC_Voltage_Borehole_Pump;
_66_Temperature_Inverter_Pump;Match;_66_Temperature_Inverter_Pump;Temp_Drv1;
_69_Frequency_Inverter_Pump;Match;_69_Frequency_Inverter_Pump;Frequency_Drv1;
_72_Current_Inverter_Pump;Match;_72_Current_Inverter_Pump;Borehole_Pump_Current;
_73_Solar_Power_KWh_Total;Match;_73_Solar_Power_KWh_Total;Solar_Power;
_74_Solar_Power_KWh_This_Hour;Match;_74_Solar_Power_KWh_This_Hour;Solar_Power_KWh_This_Hour;
_75_Solar_Power_KWh_Today;Match;_75_Solar_Power_KWh_Today;Solar_Power_KWh_Today;
_76_Solar_Power_KWh_This_Month;Match;_76_Solar_Power_KWh_This_Month;Solar_Power_KWh_This_Month;
_77_Grid_Power_KWh_Total;Match;_77_Grid_Power_KWh_Total;Grid_Power_Total;
_78_Grid_Power_KWh_This_Hour;Match;_78_Grid_Power_KWh_This_Hour;Grid_Power_KWh_This_Hour;
_79_Grid_Power_KWh_Today;Match;_79_Grid_Power_KWh_Today;Grid_Power_KWh_This_Today;
_80_Grid_Power_KWh_This_Month;Match;_80_Grid_Power_KWh_This_Month;Grid_Power_KWh_This_Month;
_81_Output_Power_KWh_Total;Match;_81_Output_Power_KWh_Total;Total_Power;
_82_Output_Power_KWh_This_Hour;Match;_82_Output_Power_KWh_This_Hour;Total_Power_KWh_This_Hour;
_83_Output_Power_KWh_Today;Match;_83_Output_Power_KWh_Today;Total_Power_KWh_This_Today;
_84_Output_Power_KWh_This_Month;Match;_84_Output_Power_KWh_This_Month;Total_Power_KWh_This_Month;
_59_Alarm;No_match;;;
_93_Current_Hour;No_match;;;
_94_Current_Day;No_match;;;
_95_Current_Month;No_match;;;
_96_Current_Year;No_match;;;
_119_Borehole_Total_Run;No_match;;;
_129_TDS_Input;No_match;;;
_130_Temperature_Water;No_match;;;
_131_DC_Voltage_Blower;No_match;;;
_132_Temperature_Inverter_Blower;No_match;;;
_133_Frequency_Inverter_Blower;No_match;;;
_134_Current_Inverter_Blower;No_match;;;
_135_Blower_Power;No_match;;;
_136_Alarm_Blower_Inverter_Temperature_Alarm;No_match;;;
_137_Alarm_Blower_Inverter_Status_Alarm;No_match;;;
_141_Blower_Total_Run;No_match;;;
_142_CO2_Saving_Total;No_match;;;
_143_CO2_Saving_This_Hour;No_match;;;
_144_CO2_Saving_Today;No_match;;;
_145_CO2_Saving_This_Month;No_match;;;
_146_Grid_Voltage_L1;No_match;;;
_147_Grid_Voltage_L2;No_match;;;
_148_Grid_Voltage_L3;No_match;;;
_12_CIP_Switch;Similar;Switch_CIP;CIP_Switch;
_13_Feed_Switch;Similar;Switch_P2;Feed_Pump_Switch;
_14_Booster_Switch;Similar;Switch_P3;Booster_Pump_Switch;
_15_Back_Wash_Switch;Similar;BackwashSwitch;Backwash_Switch;
_16_Bohrhole_Switch;Similar;BohrholeSwitch;Borehole_Pump_Switch;
_17_Uv_Out_Switch;Similar;UvOutSwitch;UV_Out_Switch;
_18_Machine_Run;Similar;MachineRun;Machine_Run;
_19_CIPtank_High;Similar;CIPtankHigh;CIP_Tank_Full;
_20_CIPtank_Low;Similar;CIPtank_empty;CIP_Tank_Empty;
_21_Anti_Scalant_Tank;Similar;AntiTank_empty;Alarm_AntiScalant_Tank;
_22_Raw_Water_Tank_High;Similar;RawWaterTankHigh;Tank_Raw_High_Level;
_23_Raw_Water_Tank_Low;Similar;RawWaterTankLow;Tank_Raw_Low_Level;
_25_Premeate_Tank;Similar;PremeateTank;Permeate_Tank_has_water;
_26_Grid_is_ON;Similar;Grid_is_ON;Grid_Switch;
_27_Alarm_Well_Level_Alarm;Similar;Alarm_Well_Level;Alarm_Borehole_empty;
_28_Alarm_Feed_Inverter_Status_Alarm;Similar;Alarm_Inverter_B;Alarm_Inverter2;
_29_Alarm_Booster_Inverter_Status_Alarm;Similar;Alarm_Inverter_C;Alarm_Inverter3;
_30_Alarm_Bohrhole_Inverter_Status_Alarm;Similar;Alarm_Inverter_A;Alarm_Inverter1;
_31_Alarm_High_Pressure_Alarm;Similar;Alarm_High_Pressure;Alarm_Pressure;
_32_Alarm_High_TDS_Alarm;Similar;AlarmHighTDS;Alarm_TDS;
