Name;Data Type;Match
Actual_Pressure;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: float;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_6_Water_Meter;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm_Comp;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Drain_Valve;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Evap;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Evap_Rotation;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Fan_1;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Fan_2;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_High_Pressure;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm_Inlet_Valve_Water;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm_Inverter_1_Over_Temperature;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter_2_Over_Temperature;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter_3_Over_Temperature;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter_A;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter_B;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Inverter_C;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Lid;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Temperature_Inverter;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm_UV_Lamp;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Alarm_Well_Level;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Alarm_Well_Water;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
AlarmAntiScalant;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmBohrholeInverterStatus;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmBohrholeInverterTemperature;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmBoosterInverterStatus;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmBoosterInverterTemperature;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmFeedInverterStatus;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmFeedInverterTemperature;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmFlowMeter;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmHighPressure;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmHighTDS;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmRaw_Tank_Alarm;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmUnstableVoltage;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmUVInLamp;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmUVOutLamp;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmValve1;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmValve2;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmValve3;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmValve4;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmValve5;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
AlarmWellLevel;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
Anti_pump;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
AntiTank_empty;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Auto_Manual;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Boost_LastRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Boost_TotalRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
BoosterPower;CodesysRO.csv: string | NewFlow2.csv: string;CodesysRO.csv, NewFlow2.csv
Bore_LastRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Bore_TotalRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Borehole_lvl;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Borhole_Float_Switch;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
CIPtank_empty;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
CIPtank_full;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Comp_Alarm;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Comp_Power;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Comp_Run;Ice_Measures.csv: boolean | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Conductivity_Switch;Ice_Measures.csv: boolean | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Day;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Hour;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Inverter_Comp;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Inverter_Evap;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
