Type;Name;Data Type
Field;Boost_LastEnMin;float
Field;Switch_Auto;integer
Field;Switch_P1;integer
Field;Switch_P2;integer
Field;Switch_P3;integer
Field;Switch_P4;integer
Field;Switch_CIP;integer
Field;Bore_LastEnMin;float
Field;Bore_LastEnHr;float
Field;Boost_LastEnHr;float
Field;Leitfaehigkeit;float
Field;Systemdruck;float
Field;Frequenz_Inv1;float
Field;Frequenz_Inv2;float
Field;Frequenz_Inv3;float
Field;Frequenz_Inv4;float
Field;Voltage_Drv1;float
Field;Voltage_Drv2;float
Field;Voltage_Drv3;float
Field;Voltage_Drv4;float
Field;WaterTotal_in;float
Field;WaterTotal_pro;float
Field;WaterTotal_sold;float
Field;WaterTotal_recovery;float
Field;WaterToday_in;integer
Field;WaterToday_pro;integer
Field;WaterToday_sold;integer
Field;WaterToday_recov;integer
Field;UV_inside_lifetime;float
Field;UV_outside_lifetime;float
Field;UV_inside_switching_operations;integer
Field;UV_outside_switching_operations;integer
Field;Feed_LastEnMin;float
Field;Feed_LastEnHr;float
Field;Bore_TotalRUN;string
Field;Feed_TotalRUN;string
Field;Boost_TotalRUN;string
Field;system_current;integer
Field;Feed_Kwh;string
Field;Feed_Po;string
Field;Borehole_lvl;string
Field;Rawtank_lowlvl;string
Field;Rawtank_toplvl;string
Field;Permtank_toplvl;string
Field;DriveError_Drv1;string
Field;DriveError_Drv2;string
Field;DriveError_Drv3;string
Field;Last_Backwash;string
Field;Feed_KWhout_parse;integer
Field;EC_Value;string
Field;Pressure;string
Field;Anti_pump;string
Field;UVo_Watersensor;string
Field;UVin_workhours;string
Field;UVo_workhours;string
Field;UVin_switching;string
Field;UVo_switching;string
Field;Valves_Pro;string
Field;Valves_Flush;string
Field;Valves_Filling;string
Field;Valves_CIP;string
Field;Waterflowing;string
Field;TotalWater_Raw;string
Field;Totalwater_Clean;string
Field;TotalWater_Sold;string
Field;TotalWater_Recovery;float
Field;WaterToday_Raw;string
Field;WaterToday_Clean;string
Field;WaterToday_Recovery;integer
Field;CIPtank_full;string
Field;CIPtank_empty;string
Field;AntiTank_empty;string
Field;SC_Sw;string
Field;SC_ctrl1;string
Field;SC_ctrl2;string
Field;SCBW1_ok;string
Field;SCBW2_ok;string
Field;Frequency_Drv1;string
Field;Frequency_Drv2;string
Field;Frequency_Drv3;string
Field;Bore_LastRUN;string
Field;Feed_LastRUN;string
Field;Boost_LastRUN;string
Field;Feed_KWhout_f;float
Field;Ctrl_UVin;integer
Field;ctrl_UVout;integer
Field;led_nouvo;integer
Field;Feed_PwrOut;integer
Field;Bore_LastRunHr;string
Field;Feed_LastRunHr;string
Field;Boost_LastRunHr;string
Field;AntiTank;string
Field;UVin_ctrl;string
Field;UVout_ctrl;string
Field;qs_led_nouvo;integer
Field;Feed_PwrOut_parse;float
Field;Bore_PwrOut_parse;string
Field;Boost_PwrOut_parse;string
Field;UVin_lifetime;string
Field;UVout_lifetime;string
Field;Mains_ON;string
Field;Mains_OON;integer
Field;AntiTankkk;integer
Field;UVin_ctrll;integer
Field;UVout_ctrll;integer
Field;Temp_Drv1;integer
Field;Temp_Drv2;integer
Field;Temp_Drv3;integer
Field;Anti_Tank;string
Field;Anti_Tankkk;integer
Field;Anti_Tankk;float
Field;CIP_tankfull;integer
Field;CIP_tankempty;integer
Field;Switch_UVout;integer
Field;Valves_Position_fillingcip;integer
Field;Valves_Position_cip;integer
Field;Valves_Position_pro;integer
Field;Valves_Position_flush;integer
Field;Switch_Vertical;integer
