Type;Name;Data Type
Field;Control_ON;integer
Field;Ph_Alarm;integer
Field;Ph_Tank1;integer
Field;EC_Value;float
Field;Pressure;float
Field;Anti_pump;integer
Field;UVo_Watersensor;integer
Field;UVo_workhours;float
Field;UVin_switching;integer
Field;Valves_Pro;integer
Field;Valves_Flush;integer
Field;Valves_CIP;integer
Field;Valves_bw;integer
Field;Waterflowing;integer
Field;TotalWater_Raw;float
Field;Totalwater_Clean;float
Field;TotalWater_Sold;float
Field;TotalWater_Recovery;float
Field;WaterToday_Clean;integer
Field;WaterToday_sold;integer
Field;WaterToday_Recovery;integer
Field;Switch_Auto;integer
Field;Switch_P3;integer
Field;CIPtank_full;integer
Field;AntiTank_empty;integer
Field;Switch_CIP;integer
Field;Switch_UVout;integer
Field;SC_ctrl2;integer
Field;SCBW1_ok;integer
Field;SCBW2_ok;integer
Field;Frequency_Drv3;integer
Field;Voltage_Drv1;integer
Field;Voltage_Drv2;integer
Field;Temp_Drv1;integer
Field;Temp_Drv2;integer
Field;Bore_LastRUN;float
Field;Boost_LastRUN;float
Field;Bore_TotalRUN;float
Field;Feed_TotalRUN;float
Field;system_current;float
Field;Feed_Kwh;float
Field;Feed_Po;float
Field;Borehole_lvl;integer
Field;UVin_workhours;float
Field;UVo_switching;integer
Field;Valves_Filling;integer
Field;WaterToday_Raw;integer
Field;Switch_P1;integer
Field;Switch_P2;integer
Field;CIPtank_empty;integer
Field;UVin_ctrl;integer
Field;SC_Sw;integer
Field;Frequency_Drv2;integer
Field;Voltage_Drv3;integer
Field;Temp_Drv3;integer
Field;Feed_LastRUN;float
Field;Boost_TotalRUN;float
Field;Rawtank_lowlvl;integer
Field;Ph_Tank2;integer
Field;UVin2_ctrl;integer
Field;UVout2_ctrl;integer
Field;Datum_Backwash_Done;integer
Field;Datum_CIP_Done;integer
Field;AlarmBoosterInverterStatus;integer
Field;Solar_Power;integer
Field;Grid_Power;integer
Field;Total_Power;integer
Field;CurrentInverterBooster;integer
Field;Current_Inverter_Pump;integer
Field;Grid_Power_KWh_Total;integer
Field;Grid_Power_KWh_This_Hour;integer
Field;Grid_Power_KWh_Today;float
Field;Grid_Power_KWh_This_Month;integer
Field;Output_Power_KWh_Total;integer
Field;Output_Power_KWh_This_Hour;integer
Field;Output_Power_KWh_Today;integer
Field;Output_Power_KWh_This_Month;integer
Field;RawWaterM3ThisHour;string
Field;RawWaterM3ThisMonth;string
Field;PremeateWaterM3ThisHour;string
Field;PremeateWaterM3ThisMonth;string
Field;Eco;integer
Field;Float_Switch;integer
Field;Pressurre_Alarm;integer
Field;Comp_Run;integer
Field;Evap_Run;integer
Field;Pump_Run;integer
Field;Fan_1_Alarm;integer
Field;Fan_2_Alarm;integer
Field;Evap_Motor_Alarm;integer
Field;Comp_Alarm;integer
Field;Borhole_Float_Switch;integer
Field;Tank_High_Level;integer
Field;Tank_Low_Level;integer
Field;Grid_is_ON;integer
Field;AlarmBohrholeInverterStatus;integer
Field;AlarmHighPressure;integer
Field;AlarmHighTDS;integer
Field;AlarmFeedInverterTemperature;integer
Field;AlarmBoosterInverterTemperature;integer
Field;AlarmBohrholeInverterTemperature;integer
Field;AlarmUVInLamp;integer
Field;AlarmUVOutLamp;integer
Field;AlarmAntiScalant;integer
Field;AlarmFlowMeter;integer
Field;AlarmUnstableVoltage;integer
Field;AlarmRaw_Tank_Alarm;integer
Field;AlarmValve1;integer
Field;AlarmValve2;integer
Field;AlarmValve3;integer
Field;AlarmValve4;integer
Field;GridisON;integer
Field;AlarmWellLevel;integer
Field;AlarmFeedInverterStatus;integer
Field;BoosterPower;string
Field;Pump_Power;string
Field;MachineCapacity;integer
Field;MachineGridPercentage;integer
Field;MachineSolarPercentage;integer
Field;Solar_Power_KWh_Total;float
Field;Solar_Power_KWh_This_Hour;integer
Field;Solar_Power_KWh_Today;integer
Field;Solar_Power_KWh_This_Month;integer
Field;CurrentHour;string
