Type;Name;Data Type;MeasureList
Field;_11_Auto_Manual;integer;Ice_Measures
Field;_11_Start;integer;Ice_Measures
Field;_12_Auto_Manual;integer;Ice_Measures
Field;_12_Eco;integer;Ice_Measures
Field;_12_Lid_Alarm;boolean;Ice_Measures
Field;_13_Eco;integer;Ice_Measures
Field;_13_Float_Switch;boolean;Ice_Measures
Field;_14_Borhole_Float_Switch;integer;Ice_Measures
Field;_14_Conductivity_Switch;integer;Ice_Measures
Field;_15_Grid_is_On;integer;Ice_Measures
Field;_15_Pressurre_Alarm;integer;Ice_Measures
Field;_16_Alarm_Well_Water;integer;Ice_Measures
Field;_16_Comp_Run;integer;Ice_Measures
Field;_17_Alarm_High_Pressure;integer;Ice_Measures
Field;_17_Evap_Run;integer;Ice_Measures
Field;_18_Alarm_Inverter;integer;Ice_Measures
Field;_18_Pump_Run;integer;Ice_Measures
Field;_19_Alarm_Temperature_Inverter;integer;Ice_Measures
Field;_19_IceMachine_Run;integer;Ice_Measures
Field;_20_Alarm_UV_Lamp;integer;Ice_Measures
Field;_20_Fan_1_Alarm;integer;Ice_Measures
Field;_21_Alarm_6_Water_Meter;integer;Ice_Measures
Field;_21_Fan_2_Alarm;integer;Ice_Measures
Field;_22_Evap_Motor_Alarm;integer;Ice_Measures
Field;_23_Comp_Alarm;integer;Ice_Measures
Field;_24_Borhole_Float_Switch;integer;Ice_Measures
Field;_25_Tank_High_Level;integer;Ice_Measures
Field;_26_Tank_Low_Level;integer;Ice_Measures
Field;_27_Grid_is_ON;integer;Ice_Measures
Field;_28_Alarm_Lid;integer;Ice_Measures
Field;_29_Alarm_Inlet_Valve_Water;integer;Ice_Measures
Field;_30_Alarm_Drain_Valve;integer;Ice_Measures
Field;_31_Alarm_DPS;integer;Ice_Measures
Field;_32_Alarm_Fan_1;integer;Ice_Measures
Field;_33_Alarm_Fan_2;integer;Ice_Measures
Field;_34_Alarm_Evap;integer;Ice_Measures
Field;_35_Alarm_Comp;integer;Ice_Measures
Field;_36_Alarm_Inverter_A;integer;Ice_Measures
