Type;Name;Data Type
Field;Start;integer
Field;Auto_Manual;integer
Field;Eco;integer
Field;Borhole_Float_Switch;integer
Field;Grid_is_On;integer
Field;Alarm_Well_Water;integer
Field;Alarm_High_Pressure;integer
Field;Alarm_Inverter;integer
Field;Alarm_Temperature_Inverter;integer
Field;Alarm_UV_Lamp;integer
Field;Alarm_6_Water_Meter;integer
Field;Solar_Power;integer
Field;Grid_Power;integer
Field;Water_M3_Today;integer
Field;Water_M3_Per_This_Month;integer
Field;Total_Power;integer
Field;Pump_Power;integer
Field;Machine_Capacity;integer
Field;Machine_Grid_Percentage;integer
Field;Machine_Solar_Percentage;integer
Field;Actual_Pressure;integer
Field;Alarm;integer
Field;DC_Voltage;integer
Field;Inverter_Temperature;float
Field;Pump_Current;integer
Field;Solar_Power_KWh_Total;integer
Field;Solar_Power_KWh_This_Hour;integer
Field;Solar_Power_KWh_Today;integer
Field;Solar_Power_KWh_This_Month;integer
Field;Grid_Power_KWh_Total;float
Field;Grid_Power_KWh_This_Hour;integer
Field;Grid_Power_KWh_Today;integer
Field;Grid_Power_KWh_This_Month;float
Field;Output_Power_KWh_Total;float
Field;Output_Power_KWh_This_Hour;integer
Field;Output_Power_KWh_Today;integer
Field;Output_Power_KWh_This_Month;float
Field;Current_Hour;integer
Field;Current_Day;integer
Field;Current_Month;integer
Field;Current_Year;integer
Field;Total_Run_Time;integer
Field;UV_Lamp_Run_Time;integer
Field;Water_M3_Total;integer
Field;Water_M3_This_Hour;integer
Field;Pressure;float
