Type;Name;Data Type
Field;value1;integer
Field;Auto_Manual;integer
Field;CIPSwitch;integer
Field;FeedSwitch;integer
Field;BoosterSwitch;integer
Field;BackwashSwitch;integer
Field;BohrholeSwitch;integer
Field;UvOutSwitch;integer
Field;MachineRun;integer
Field;CIPtankHigh;integer
Field;CIPtankLow;integer
Field;AntiScalantTank;integer
Field;RawWaterTankHigh;integer
Field;AlarmBoosterInverterTemperature;integer
Field;AlarmBohrholeInverterTemperature;integer
Field;AlarmUVInLamp;integer
Field;AlarmUVOutLamp;integer
Field;AlarmAntiScalant;integer
Field;AlarmFlowMeter;integer
Field;AlarmUnstableVoltage;integer
Field;AlarmRaw_Tank_Alarm;integer
Field;AlarmValve1;integer
Field;AlarmValve2;integer
Field;AlarmValve3;integer
Field;AlarmValve4;integer
Field;AlarmValve5;integer
Field;Solar_Power;integer
Field;Grid_Power;integer
Field;Total_Power;integer
Field;FeedPower;integer
Field;BoosterPower;string
Field;Pump_Power;string
Field;MachineCapacity;integer
Field;MachineGridPercentage;integer
Field;MachineSolarPercentage;integer
Field;Alarm;integer
Field;Total_Current;string
Field;DCVoltageFeed;integer
Field;DCVoltageBooster;integer
Field;DCVoltagePump;integer
Field;TemperatureInverterFeed;integer
Field;TemperatureInverterBooster;integer
Field;TemperatureInverterPump;integer
Field;FrequencyInverterFeed;integer
Field;Current_Inverter_Pump;float
Field;Solar_Power_KWh_Total;integer
Field;Solar_Power_KWh_This_Hour;integer
Field;Solar_Power_KWh_Today;integer
Field;Solar_Power_KWh_This_Month;integer
Field;Grid_Power_KWh_Total;integer
Field;Grid_Power_KWh_This_Hour;float
Field;Grid_Power_KWh_Today;integer
Field;Grid_Power_KWh_This_Month;integer
Field;Output_Power_KWh_Total;integer
Field;Output_Power_KWh_This_Hour;integer
Field;RawWaterTankLow;integer
Field;BorholeFloatSwitch;integer
Field;PremeateTank;integer
Field;GridisON;integer
Field;AlarmWellLevel;integer
Field;AlarmFeedInverterStatus;integer
Field;AlarmBoosterInverterStatus;integer
Field;AlarmBohrholeInverterStatus;integer
Field;AlarmHighPressure;integer
Field;AlarmHighTDS;integer
Field;AlarmFeedInverterTemperature;integer
Field;FrequencyInverterBooster;integer
Field;FrequencyInverterPump;integer
Field;CurrentInverterFeed;integer
Field;CurrentInverterBooster;integer
Field;Output_Power_KWh_This_Month;string
Field;RawWaterM3Total;string
Field;RawWaterM3ThisHour;string
Field;RawWaterM3Today;string
Field;RawWaterM3ThisMonth;string
Field;PremeateWaterM3Total;string
Field;PremeateWaterM3ThisHour;string
Field;PremeateWaterM3Today;string
Field;PremeateWaterM3ThisMonth;string
Field;CurrentHour;string
Field;CurrentDay;string
Field;CurrentMonth;string
Field;Mains_ON;integer
Field;CIPtank_full;integer
Field;CIPtank_empty;integer
Field;AntiTank_empty;integer
Field;Rawtank_toplvl;integer
Field;Rawtank_lowlvl;integer
Field;Borehole_lvl;integer
Field;Permtank_toplvl;integer
Field;Feed_Po;integer
Field;system_current;integer
Field;Voltage_Drv2;integer
Field;Voltage_Drv3;integer
Field;Voltage_Drv1;integer
Field;Temp_Drv2;integer
Field;Temp_Drv3;integer
Field;Temp_Drv1;integer
Field;TotalWater_Raw;string
Field;WaterToday_Raw;string
Field;Totalwater_Clean;string
Field;WaterToday_Clean;string
Field;Valves_Pro;integer
Field;Valves_CIP;integer
Field;Valves_Filling;integer
Field;Valves_Flush;integer
Field;Valves_bw;integer
Field;SC_Sw;integer
Field;Switch_P1;integer
Field;UVo_switching;integer
Field;Frequency_Drv2;integer
Field;Frequency_Drv3;integer
Field;Frequency_Drv1;integer
Field;Output_Power_KWh_Today;integer
Field;Current_Year;string
Field;Machine_Mode_Pro;integer
Field;Machine_Mode_CIP;integer
Field;Machine_Mode_Filling;integer
Field;Machine_Mode_Flush;integer
Field;Machine_Mode_Backwash;integer
Field;Machine_Mode_Bohrhole;integer
Field;Datum_Backwash_Done;string
Field;Datum_CIP_Done;string
Field;Dosing_Pump_Alarm;integer
Field;Switch_Auto;integer
Field;Switch_CIP;integer
Field;Switch_P2;integer
Field;Switch_P3;integer
