Name;Data Type;MeasureList
_11_Auto_Manual;integer;Ice_Measures
_11_Start;integer;Ice_Measures
_12_Auto_Manual;integer;Ice_Measures
_12_Eco;integer;Ice_Measures
_12_Lid_Alarm;boolean;Ice_Measures
_13_Eco;integer;Ice_Measures
_13_Float_Switch;boolean;Ice_Measures
_14_Borhole_Float_Switch;integer;Ice_Measures
_14_Conductivity_Switch;integer;Ice_Measures
_15_Grid_is_On;integer;Ice_Measures
_15_Pressurre_Alarm;integer;Ice_Measures
_16_Alarm_Well_Water;integer;Ice_Measures
_16_Comp_Run;integer;Ice_Measures
_17_Alarm_High_Pressure;integer;Ice_Measures
_17_Evap_Run;integer;Ice_Measures
_18_Alarm_Inverter;integer;Ice_Measures
_18_Pump_Run;integer;Ice_Measures
_19_Alarm_Temperature_Inverter;integer;Ice_Measures
_19_IceMachine_Run;integer;Ice_Measures
_20_Alarm_UV_Lamp;integer;Ice_Measures
_20_Fan_1_Alarm;integer;Ice_Measures
_21_Alarm_6_Water_Meter;integer;Ice_Measures
_21_Fan_2_Alarm;integer;Ice_Measures
_22_Evap_Motor_Alarm;integer;Ice_Measures
_23_Comp_Alarm;integer;Ice_Measures
_24_Borhole_Float_Switch;integer;Ice_Measures
_25_Tank_High_Level;integer;Ice_Measures
_26_Tank_Low_Level;integer;Ice_Measures
_27_Grid_is_ON;integer;Ice_Measures
_28_Alarm_Lid;integer;Ice_Measures
_29_Alarm_Inlet_Valve_Water;integer;Ice_Measures
_30_Alarm_Drain_Valve;integer;Ice_Measures
_31_Alarm_DPS;integer;Ice_Measures
_32_Alarm_Fan_1;integer;Ice_Measures
_33_Alarm_Fan_2;integer;Ice_Measures
_34_Alarm_Evap;integer;Ice_Measures
_35_Alarm_Comp;integer;Ice_Measures
_36_Alarm_Inverter_A;integer;Ice_Measures
_37_Alarm_Inverter_B;integer;Ice_Measures
_38_Alarm_Inverter_C;integer;Ice_Measures
_39_Alarm_Tank;integer;Ice_Measures
_40_Alarm_Well_Level;integer;Ice_Measures
_41_Alarm_Evap_Rotation;integer;Ice_Measures
_42_Alarm_Inverter_1_Over_Temperature;integer;Ice_Measures
_43_Alarm_Inverter_2_Over_Temperature;integer;Ice_Measures
_44_Alarm_Inverter_3_Over_Temperature;integer;Ice_Measures
_50_Solar_Power;integer;Ice_Measures
_51_Grid_Power;integer;Ice_Measures
_52_Total_Power;integer;Ice_Measures
_53_Evap_Power;integer;Ice_Measures
_53_Pump_Power;integer;Ice_Measures
_54_Comp_Power;integer;Ice_Measures
_54_Machine_Capacity;integer;Ice_Measures
_55_Machine_Grid_Percentage;integer;Ice_Measures
_55_Pump_Power;integer;Ice_Measures
_56_Machine_Capacity;integer;Ice_Measures
_56_Machine_Solar_Percentage;integer;Ice_Measures
_57_Actual_Pressure;integer;Ice_Measures
_57_Machine_Grid_Percentage;integer;Ice_Measures
_58_Alarm;integer;Ice_Measures
_58_Machine_Solar_Percentage;integer;Ice_Measures
_59_Alarm;integer;Ice_Measures
_59_DC_Voltage;integer;Ice_Measures
_60_Inverter_Temperature;integer;Ice_Measures
_60_Total_Current;integer;Ice_Measures
_61_DC_Voltage_Evap;integer;Ice_Measures
_61_Pump_Current;integer;Ice_Measures
_62_DC_Voltage_Comp;integer;Ice_Measures
_62_Solar_Power_KWh_Total;integer;Ice_Measures
_63_DC_Voltage_Pump;integer;Ice_Measures
_63_Solar_Power_KWh_This_Hour;integer;Ice_Measures
_64_Solar_Power_KWh_Today;integer;Ice_Measures
_64_Temperature_Inverter_Evap;integer;Ice_Measures
_65_Solar_Power_KWh_This_Month;integer;Ice_Measures
_65_Temperature_Inverte_Comp;integer;Ice_Measures
_66_Grid_Power_KWh_Total;integer;Ice_Measures
_66_Temperature_Inverter_Pump;integer;Ice_Measures
_67_Frequency_Inverter_Evap;integer;Ice_Measures
_67_Grid_Power_KWh_This_Hour;integer;Ice_Measures
_68_Frequency_Inverter_Comp;integer;Ice_Measures
_68_Grid_Power_KWh_Today;integer;Ice_Measures
_69_Frequency_Inverter_Pump;integer;Ice_Measures
_69_Grid_Power_KWh_This_Month;integer;Ice_Measures
_70_Current_Inverter_Evap;integer;Ice_Measures
_70_Output_Power_KWh_Total;integer;Ice_Measures
_71_Current_Inverter_Comp;integer;Ice_Measures
_71_Output_Power_KWh_This_Hour;integer;Ice_Measures
_72_Current_Inverter_Pump;integer;Ice_Measures
_72_Output_Power_KWh_Today;integer;Ice_Measures
_73_Output_Power_KWh_This_Month;integer;Ice_Measures
_73_Solar_Power_KWh_Total;integer;Ice_Measures
_74_Current_Hour;integer;Ice_Measures
_74_Solar_Power_KWh_This_Hour;integer;Ice_Measures
_75_Current_Day;integer;Ice_Measures
_75_Solar_Power_KWh_Today;integer;Ice_Measures
_76_Current_Month;integer;Ice_Measures
_76_Solar_Power_KWh_This_Month;integer;Ice_Measures
_77_Current_Year;integer;Ice_Measures
_77_Grid_Power_KWh_Total;integer;Ice_Measures
_78_Grid_Power_KWh_This_Hour;integer;Ice_Measures
_78_Total_Run_Time;integer;Ice_Measures
_79_Grid_Power_KWh_Today;integer;Ice_Measures
_79_UV_Lamp_Run_Time;integer;Ice_Measures
_80_Grid_Power_KWh_This_Month;integer;Ice_Measures
_80_Water_M3_Total;integer;Ice_Measures
_81_Output_Power_KWh_Total;integer;Ice_Measures
_81_Water_M3_This_Hour;integer;Ice_Measures
_82_Output_Power_KWh_This_Hour;integer;Ice_Measures
_82_Water_M3_Today;integer;Ice_Measures
