Type;Name;Data Type
Field;_11_Auto_Manual;integer
Field;_14_Conductivity_Switch;integer
Field;_15_Pressurre_Alarm;integer
Field;_16_Comp_Run;integer
Field;_17_Evap_Run;integer
Field;_18_Pump_Run;integer
Field;_19_IceMachine_Run;integer
Field;_20_Fan_1_Alarm;integer
Field;_21_Fan_2_Alarm;integer
Field;_22_Evap_Motor_Alarm;integer
Field;_23_Comp_Alarm;integer
Field;_24_Borhole_Float_Switch;integer
Field;_25_Tank_High_Level;integer
Field;_26_Tank_Low_Level;integer
Field;_27_Grid_is_ON;integer
Field;_28_Alarm_Lid;integer
Field;_29_Alarm_Inlet_Valve_Water;integer
Field;_30_Alarm_Drain_Valve;integer
Field;_31_Alarm_DPS;integer
Field;_32_Alarm_Fan_1;integer
Field;_12_Lid_Alarm;boolean
Field;_33_Alarm_Fan_2;integer
Field;_34_Alarm_Evap;integer
Field;_35_Alarm_Comp;integer
Field;_36_Alarm_Inverter_A;integer
Field;Water_M3_This_Month;integer
Field;_37_Alarm_Inverter_B;integer
Field;_38_Alarm_Inverter_C;integer
Field;_39_Alarm_Tank;integer
Field;_40_Alarm_Well_Level;integer
Field;_41_Alarm_Evap_Rotation;integer
Field;_42_Alarm_Inverter_1_Over_Temperature;integer
Field;_43_Alarm_Inverter_2_Over_Temperature;integer
Field;_44_Alarm_Inverter_3_Over_Temperature;integer
Field;_50_Solar_Power;integer
Field;_51_Grid_Power;integer
Field;_52_Total_Power;integer
Field;_53_Evap_Power;integer
Field;_54_Comp_Power;integer
Field;_55_Pump_Power;integer
Field;_56_Machine_Capacity;integer
Field;_57_Machine_Grid_Percentage;integer
Field;_58_Machine_Solar_Percentage;integer
Field;_59_Alarm;integer
Field;_60_Total_Current;integer
Field;_61_DC_Voltage_Evap;integer
Field;_13_Float_Switch;boolean
Field;_62_DC_Voltage_Comp;integer
Field;_63_DC_Voltage_Pump;integer
Field;_64_Temperature_Inverter_Evap;integer
Field;_65_Temperature_Inverte_Comp;integer
Field;_66_Temperature_Inverter_Pump;integer
Field;_67_Frequency_Inverter_Evap;integer
Field;_68_Frequency_Inverter_Comp;integer
Field;_69_Frequency_Inverter_Pump;integer
Field;_70_Current_Inverter_Evap;integer
Field;Comp_Run;boolean
Field;_11_Start;integer
Field;_12_Auto_Manual;integer
Field;_13_Eco;integer
Field;_14_Borhole_Float_Switch;integer
Field;_15_Grid_is_On;integer
Field;_16_Alarm_Well_Water;integer
Field;_17_Alarm_High_Pressure;integer
Field;_18_Alarm_Inverter;integer
Field;_59_DC_Voltage;integer
Field;_60_Inverter_Temperature;integer
Field;_61_Pump_Current;integer
Field;_83_Water_M3_Per_This_Month;integer
Field;Float_Switch;boolean
Field;Conductivity_Switch;boolean
Field;Pressurre_Alarm;boolean
Field;_71_Current_Inverter_Comp;integer
Field;_72_Current_Inverter_Pump;integer
Field;_73_Solar_Power_KWh_Total;integer
Field;_74_Solar_Power_KWh_This_Hour;integer
Field;_75_Solar_Power_KWh_Today;integer
