Type;Name;Data Type
Field;Tank_Low_Level;integer
Field;Grid_is_ON;integer
Field;Frequency_Inverter_Comp;integer
Field;Frequency_Inverter_Pump;integer
Field;Current_Inverter_Evap;integer
Field;Current_Inverter_Comp;integer
Field;Current_Inverter_Pump;integer
Field;Grid_Power_KWh_Today;float
Field;Grid_Power_KWh_This_Month;float
Field;Output_Power_KWh_Total;float
Field;Output_Power_KWh_This_Hour;integer
Field;Output_Power_KWh_Today;float
Field;Output_Power_KWh_This_Month;float
Field;Current_Hour;integer
Field;Current_Day;integer
Field;Current_Month;integer
Field;Current_Year;integer
Field;Water_M3_Total;integer
Field;Water_M3_This_Hour;integer
Field;Water_M3_Today;integer
Field;Auto_Manual;integer
Field;Eco;integer
Field;Float_Switch;integer
Field;Conductivity_Switch;integer
Field;Pressurre_Alarm;integer
Field;Comp_Run;integer
Field;Evap_Run;integer
Field;Pump_Run;integer
Field;IceMachine_Run;integer
Field;Fan_1_Alarm;integer
Field;Fan_2_Alarm;integer
Field;Evap_Motor_Alarm;integer
Field;Comp_Alarm;integer
Field;Borhole_Float_Switch;integer
Field;Tank_High_Level;integer
Field;Alarm_Lid;integer
Field;Alarm_Inlet_Valve_Water;integer
Field;Alarm_Drain_Valve;integer
Field;Alarm_Fan_1;integer
Field;Alarm_Fan_2;integer
Field;Alarm_Evap;integer
Field;Alarm_Comp;integer
Field;Alarm_Inverter_A;integer
Field;Alarm_Inverter_B;integer
Field;Alarm_Inverter_C;integer
Field;Total_Power;integer
Field;Evap_Power;integer
Field;Comp_Power;integer
Field;Pump_Power;integer
Field;Alarm_Well_Level;integer
Field;Alarm_Evap_Rotation;integer
Field;Alarm_Inverter_1_Over_Temperature;integer
Field;Alarm_Inverter_2_Over_Temperature;integer
Field;Alarm_Inverter_3_Over_Temperature;integer
Field;Solar_Power;integer
Field;Grid_Power;integer
Field;Machine_Capacity;integer
Field;Machine_Grid_Percentage;integer
Field;Machine_Solar_Percentage;integer
Field;Alarm;integer
Field;Total_Current;integer
Field;DC_Voltage_Evap;integer
Field;DC_Voltage_Comp;integer
Field;DC_Voltage_Pump;integer
Field;Temperature_Inverter_Evap;float
Field;Temperature_Inverter_Comp;float
Field;Temperature_Inverter_Pump;float
Field;Frequency_Inverter_Evap;integer
Field;Solar_Power_KWh_Total;float
Field;Solar_Power_KWh_This_Hour;integer
Field;Solar_Power_KWh_Today;float
Field;Solar_Power_KWh_This_Month;float
Field;Grid_Power_KWh_Total;float
Field;Grid_Power_KWh_This_Hour;integer
Field;Water_M3_This_Month;integer
